time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,14.8,85,20.5,27,0.1
2025-03-01 01:00:00,13.8,85,15.3,24,0.0
2025-03-01 02:00:00,12.6,88,16.3,0,0.0
2025-03-01 03:00:00,12.0,87,17.0,0,0.0
2025-03-01 04:00:00,11.4,88,12.9,1,0.0
2025-03-01 05:00:00,10.8,90,5.9,11,0.0
2025-03-01 06:00:00,12.8,85,7.5,3,0.0
2025-03-01 07:00:00,14.0,77,14.4,4,0.0
2025-03-01 08:00:00,16.8,68,17.4,3,0.0
2025-03-01 09:00:00,18.7,64,16.0,2,0.0
2025-03-01 10:00:00,20.5,61,17.4,7,0.0
2025-03-01 11:00:00,21.9,56,15.7,6,0.0
2025-03-01 12:00:00,22.8,51,13.2,15,0.0
2025-03-01 13:00:00,23.2,49,9.4,13,0.0
2025-03-01 14:00:00,23.1,48,8.1,8,0.0
2025-03-01 15:00:00,22.8,48,6.1,43,0.0
2025-03-01 16:00:00,22.1,51,8.5,15,0.0
2025-03-01 17:00:00,20.7,63,11.5,27,0.0
2025-03-01 18:00:00,18.0,81,13.5,18,0.0
2025-03-01 19:00:00,16.5,88,10.2,10,0.0
2025-03-01 20:00:00,15.9,86,15.0,4,0.0
2025-03-01 21:00:00,13.9,87,11.3,1,0.0
2025-03-01 22:00:00,12.5,88,11.7,0,0.0
2025-03-01 23:00:00,12.4,80,15.1,0,0.0
2025-03-02 00:00:00,12.2,77,16.2,0,0.0
2025-03-02 01:00:00,11.6,79,15.8,0,0.0
2025-03-02 02:00:00,11.1,80,15.9,0,0.0
2025-03-02 03:00:00,10.5,82,16.1,0,0.0
2025-03-02 04:00:00,10.2,81,16.6,0,0.0
2025-03-02 05:00:00,9.5,84,16.0,0,0.0
2025-03-02 06:00:00,11.8,80,18.6,0,0.0
2025-03-02 07:00:00,12.4,77,18.4,0,0.0
2025-03-02 08:00:00,15.9,66,18.1,0,0.0
2025-03-02 09:00:00,18.6,57,15.3,0,0.0
2025-03-02 10:00:00,20.6,53,16.3,0,0.0
2025-03-02 11:00:00,22.1,49,18.0,0,0.0
2025-03-02 12:00:00,23.1,45,18.0,0,0.0
2025-03-02 13:00:00,23.5,43,18.3,0,0.0
2025-03-02 14:00:00,23.6,43,19.1,0,0.0
2025-03-02 15:00:00,23.4,42,19.9,0,0.0
2025-03-02 16:00:00,22.5,44,20.8,0,0.0
2025-03-02 17:00:00,20.5,53,21.0,0,0.0
2025-03-02 18:00:00,18.0,65,20.9,0,0.0
2025-03-02 19:00:00,16.7,71,19.3,0,0.0
2025-03-02 20:00:00,15.8,74,20.0,0,0.0
2025-03-02 21:00:00,15.1,75,19.3,0,0.0
2025-03-02 22:00:00,14.6,76,18.4,0,0.0
2025-03-02 23:00:00,14.6,76,18.6,0,0.0
2025-03-03 00:00:00,14.0,77,18.6,0,0.0
2025-03-03 01:00:00,13.7,77,20.0,0,0.0
2025-03-03 02:00:00,12.9,80,19.3,2,0.0
2025-03-03 03:00:00,11.5,85,16.5,0,0.0
2025-03-03 04:00:00,10.9,86,15.1,0,0.0
2025-03-03 05:00:00,10.1,87,9.7,0,0.0
2025-03-03 06:00:00,10.9,85,2.0,28,0.0
2025-03-03 07:00:00,11.7,82,5.2,91,0.0
2025-03-03 08:00:00,14.9,73,5.0,99,0.0
2025-03-03 09:00:00,19.4,56,6.0,100,0.0
2025-03-03 10:00:00,19.2,62,6.0,100,0.0
2025-03-03 11:00:00,19.1,61,27.5,73,0.4
2025-03-03 12:00:00,20.6,46,24.6,28,0.0
2025-03-03 13:00:00,24.6,32,10.5,35,0.0
2025-03-03 14:00:00,25.2,29,3.5,59,0.0
2025-03-03 15:00:00,24.9,31,3.6,59,0.0
2025-03-03 16:00:00,24.2,32,4.8,62,0.0
2025-03-03 17:00:00,21.8,47,12.4,58,0.1
2025-03-03 18:00:00,20.0,66,4.4,48,0.0
2025-03-03 19:00:00,18.4,68,9.1,50,0.0
2025-03-03 20:00:00,17.9,61,16.0,45,0.0
2025-03-03 21:00:00,16.8,60,12.1,47,0.4
2025-03-03 22:00:00,16.7,61,9.7,72,0.0
2025-03-03 23:00:00,15.8,71,35.7,52,0.1
2025-03-04 00:00:00,16.4,64,25.3,58,0.0
2025-03-04 01:00:00,14.9,71,25.8,56,0.1
2025-03-04 02:00:00,14.6,72,23.0,52,0.0
2025-03-04 03:00:00,13.2,77,9.6,75,0.0
2025-03-04 04:00:00,13.6,83,16.2,19,1.0
2025-03-04 05:00:00,13.6,80,20.5,16,0.0
2025-03-04 06:00:00,12.6,83,6.7,18,0.0
2025-03-04 07:00:00,13.9,74,9.7,1,0.0
2025-03-04 08:00:00,16.6,67,3.9,6,0.0
2025-03-04 09:00:00,19.5,53,4.8,0,0.0
2025-03-04 10:00:00,20.6,50,9.8,0,0.0
2025-03-04 11:00:00,21.6,47,9.5,0,0.0
2025-03-04 12:00:00,22.6,41,10.2,8,0.1
2025-03-04 13:00:00,23.0,36,13.3,26,0.0
2025-03-04 14:00:00,22.9,31,18.6,20,0.0
2025-03-04 15:00:00,21.9,35,25.6,25,0.0
2025-03-04 16:00:00,20.6,38,29.8,14,0.0
2025-03-04 17:00:00,18.7,50,26.8,13,0.0
2025-03-04 18:00:00,17.5,60,28.2,2,0.0
2025-03-04 19:00:00,16.2,65,27.2,0,0.0
2025-03-04 20:00:00,15.2,68,28.8,0,0.0
2025-03-04 21:00:00,14.8,70,30.4,0,0.0
2025-03-04 22:00:00,14.2,74,30.6,0,0.0
2025-03-04 23:00:00,13.5,75,30.1,0,0.0
2025-03-05 00:00:00,12.9,76,30.8,0,0.0
2025-03-05 01:00:00,12.6,76,31.7,0,0.0
2025-03-05 02:00:00,12.0,76,31.5,0,0.0
2025-03-05 03:00:00,11.4,77,32.5,0,0.0
2025-03-05 04:00:00,10.9,76,32.8,0,0.0
2025-03-05 05:00:00,10.8,74,33.2,0,0.0
2025-03-05 06:00:00,10.6,81,32.3,0,0.0
2025-03-05 07:00:00,11.1,75,33.0,0,0.0
2025-03-05 08:00:00,12.9,69,34.7,0,0.0
2025-03-05 09:00:00,15.3,60,28.6,0,0.0
2025-03-05 10:00:00,17.5,51,30.1,0,0.0
2025-03-05 11:00:00,19.3,44,32.8,0,0.0
2025-03-05 12:00:00,20.5,39,33.5,0,0.0
2025-03-05 13:00:00,21.2,37,34.4,0,0.0
2025-03-05 14:00:00,21.3,35,35.0,0,0.0
2025-03-05 15:00:00,21.0,36,36.0,0,0.0
2025-03-05 16:00:00,20.0,42,35.7,0,0.0
2025-03-05 17:00:00,18.6,52,34.5,0,0.0
2025-03-05 18:00:00,17.2,61,32.2,0,0.0
2025-03-05 19:00:00,16.1,66,31.3,0,0.0
2025-03-05 20:00:00,15.5,69,33.4,0,0.0
2025-03-05 21:00:00,15.1,73,33.3,7,0.0
2025-03-05 22:00:00,14.7,73,32.7,0,0.0
2025-03-05 23:00:00,14.2,71,32.1,0,0.0
2025-03-06 00:00:00,14.2,63,31.2,0,0.0
2025-03-06 01:00:00,14.0,58,31.3,0,0.0
2025-03-06 02:00:00,13.5,60,30.6,0,0.0
2025-03-06 03:00:00,12.8,65,31.0,6,0.0
2025-03-06 04:00:00,12.5,66,29.6,17,0.0
2025-03-06 05:00:00,12.4,63,30.0,46,0.0
2025-03-06 06:00:00,11.9,66,32.2,10,0.0
2025-03-06 07:00:00,11.9,67,29.9,0,0.0
2025-03-06 08:00:00,14.1,61,31.1,0,0.0
2025-03-06 09:00:00,17.0,55,23.7,0,0.0
2025-03-06 10:00:00,19.6,50,22.9,0,0.0
2025-03-06 11:00:00,22.0,44,23.4,0,0.0
2025-03-06 12:00:00,23.5,38,23.6,0,0.0
2025-03-06 13:00:00,24.5,34,24.7,0,0.0
2025-03-06 14:00:00,24.9,32,25.9,0,0.0
2025-03-06 15:00:00,24.5,32,25.7,0,0.0
2025-03-06 16:00:00,23.6,37,24.5,0,0.0
2025-03-06 17:00:00,21.9,44,23.8,0,0.0
2025-03-06 18:00:00,19.7,53,23.6,0,0.0
2025-03-06 19:00:00,18.0,60,24.9,0,0.0
2025-03-06 20:00:00,17.2,62,23.6,0,0.0
2025-03-06 21:00:00,16.2,62,22.6,0,0.0
2025-03-06 22:00:00,15.1,63,21.8,0,0.0
2025-03-06 23:00:00,13.9,65,19.0,0,0.0
2025-03-07 00:00:00,12.2,66,15.7,0,0.0
2025-03-07 01:00:00,11.4,65,14.9,0,0.0
2025-03-07 02:00:00,11.1,61,14.9,0,0.0
2025-03-07 03:00:00,11.4,55,16.2,9,0.0
2025-03-07 04:00:00,10.9,55,16.8,10,0.0
2025-03-07 05:00:00,10.6,54,17.2,2,0.0
2025-03-07 06:00:00,11.3,58,17.3,4,0.0
2025-03-07 07:00:00,12.6,55,19.2,5,0.0
2025-03-07 08:00:00,16.6,45,18.0,12,0.0
2025-03-07 09:00:00,20.1,39,15.3,37,0.0
2025-03-07 10:00:00,22.9,34,13.4,6,0.0
2025-03-07 11:00:00,24.9,28,17.1,3,0.0
2025-03-07 12:00:00,26.0,22,20.0,0,0.0
2025-03-07 13:00:00,26.5,23,22.8,12,0.0
2025-03-07 14:00:00,26.5,23,24.3,48,0.0
2025-03-07 15:00:00,25.8,27,26.1,100,0.0
2025-03-07 16:00:00,24.5,34,25.5,55,0.0
2025-03-07 17:00:00,23.0,43,23.4,0,0.0
2025-03-07 18:00:00,20.5,52,26.8,0,0.0
2025-03-07 19:00:00,18.8,59,26.0,0,0.0
2025-03-07 20:00:00,17.8,62,24.8,0,0.0
2025-03-07 21:00:00,17.9,60,29.2,0,0.0
2025-03-07 22:00:00,17.5,59,27.2,0,0.0
2025-03-07 23:00:00,16.5,61,22.4,0,0.0
2025-03-08 00:00:00,15.1,64,21.3,0,0.0
2025-03-08 01:00:00,14.9,62,21.6,0,0.0
2025-03-08 02:00:00,14.9,59,22.5,0,0.0
2025-03-08 03:00:00,14.9,57,23.9,0,0.0
2025-03-08 04:00:00,14.6,57,25.7,0,0.0
2025-03-08 05:00:00,14.6,55,26.4,0,0.0
2025-03-08 06:00:00,14.4,60,25.3,0,0.0
2025-03-08 07:00:00,15.1,58,24.1,0,0.0
2025-03-08 08:00:00,17.9,52,21.9,0,0.0
2025-03-08 09:00:00,21.0,43,17.0,0,0.0
2025-03-08 10:00:00,23.5,39,16.3,0,0.0
2025-03-08 11:00:00,25.2,32,20.1,0,0.0
2025-03-08 12:00:00,26.4,29,23.4,0,0.0
2025-03-08 13:00:00,26.9,30,23.5,0,0.0
2025-03-08 14:00:00,27.4,25,24.7,86,0.0
2025-03-08 15:00:00,27.2,24,26.2,80,0.0
2025-03-08 16:00:00,26.5,24,25.7,85,0.0
2025-03-08 17:00:00,25.1,27,21.4,64,0.0
2025-03-08 18:00:00,21.9,38,21.0,100,0.0
2025-03-08 19:00:00,19.7,49,18.7,56,0.0
2025-03-08 20:00:00,18.3,54,20.0,8,0.0
2025-03-08 21:00:00,16.8,56,16.9,0,0.0
2025-03-08 22:00:00,14.8,64,12.2,0,0.0
2025-03-08 23:00:00,13.6,69,13.2,0,0.0
2025-03-09 00:00:00,12.8,73,7.0,5,0.0
2025-03-09 01:00:00,11.8,79,2.2,25,0.0
2025-03-09 02:00:00,11.2,80,7.7,0,0.0
2025-03-09 03:00:00,11.2,75,7.4,0,0.0
2025-03-09 04:00:00,11.1,72,4.4,0,0.0
2025-03-09 05:00:00,11.1,68,5.0,0,0.0
2025-03-09 06:00:00,12.4,70,9.4,0,0.0
2025-03-09 07:00:00,13.4,65,10.0,0,0.0
2025-03-09 08:00:00,17.9,51,13.2,0,0.0
2025-03-09 09:00:00,21.5,40,12.2,0,0.0
2025-03-09 10:00:00,23.6,41,15.9,8,0.0
2025-03-09 11:00:00,26.0,33,16.6,0,0.0
2025-03-09 12:00:00,27.6,23,15.0,7,0.0
2025-03-09 13:00:00,28.6,17,11.5,40,0.0
2025-03-09 14:00:00,29.2,17,7.6,0,0.0
2025-03-09 15:00:00,29.2,18,6.2,23,0.0
2025-03-09 16:00:00,28.8,19,4.9,87,0.0
2025-03-09 17:00:00,26.8,29,6.9,80,0.0
2025-03-09 18:00:00,23.1,30,16.7,25,0.0
2025-03-09 19:00:00,21.2,35,20.2,17,0.0
2025-03-09 20:00:00,19.6,43,15.0,15,0.0
2025-03-09 21:00:00,17.8,48,13.6,12,0.0
2025-03-09 22:00:00,16.2,53,11.1,31,0.0
2025-03-09 23:00:00,14.6,59,7.7,99,0.0
2025-03-10 00:00:00,15.3,57,7.5,100,0.0
2025-03-10 01:00:00,16.6,52,11.9,100,0.0
2025-03-10 02:00:00,16.2,52,12.2,100,0.0
2025-03-10 03:00:00,16.5,51,10.5,100,0.0
2025-03-10 04:00:00,16.5,53,9.6,100,0.0
2025-03-10 05:00:00,16.3,58,5.0,100,0.0
2025-03-10 06:00:00,17.5,54,12.8,100,0.0
2025-03-10 07:00:00,18.4,53,17.0,65,0.0
2025-03-10 08:00:00,21.9,44,15.2,98,0.0
2025-03-10 09:00:00,24.5,37,13.2,97,0.0
2025-03-10 10:00:00,26.9,33,17.6,100,0.0
2025-03-10 11:00:00,28.0,31,19.4,99,0.0
2025-03-10 12:00:00,28.4,31,19.2,100,0.0
2025-03-10 13:00:00,29.0,30,17.9,59,0.0
2025-03-10 14:00:00,29.1,30,15.0,99,0.0
2025-03-10 15:00:00,29.0,30,11.7,51,0.0
2025-03-10 16:00:00,28.4,30,7.9,14,0.0
2025-03-10 17:00:00,27.1,34,7.0,36,0.0
2025-03-10 18:00:00,24.0,42,6.0,27,0.0
2025-03-10 19:00:00,21.8,47,2.3,11,0.0
2025-03-10 20:00:00,20.4,52,8.4,1,0.0
2025-03-10 21:00:00,18.3,61,3.3,21,0.0
2025-03-10 22:00:00,17.2,66,0.8,6,0.0
2025-03-10 23:00:00,15.9,71,1.3,2,0.0
2025-03-11 00:00:00,15.1,73,0.8,100,0.0
2025-03-11 01:00:00,14.4,72,1.5,13,0.0
2025-03-11 02:00:00,13.9,71,1.8,68,0.0
2025-03-11 03:00:00,13.3,71,1.5,82,0.0
2025-03-11 04:00:00,12.9,72,7.2,100,0.0
2025-03-11 05:00:00,13.9,66,5.9,100,0.0
2025-03-11 06:00:00,15.1,67,2.1,76,0.0
2025-03-11 07:00:00,15.4,67,4.7,50,0.0
2025-03-11 08:00:00,21.1,53,1.0,86,0.0
2025-03-11 09:00:00,24.3,43,7.3,100,0.0
2025-03-11 10:00:00,26.0,37,8.0,100,0.0
2025-03-11 11:00:00,27.8,31,9.6,99,0.0
2025-03-11 12:00:00,30.0,27,11.6,95,0.0
2025-03-11 13:00:00,30.9,23,15.1,100,0.0
2025-03-11 14:00:00,30.5,24,15.6,100,0.0
2025-03-11 15:00:00,29.4,28,16.4,82,0.1
2025-03-11 16:00:00,29.0,27,13.4,100,0.0
2025-03-11 17:00:00,26.8,34,17.8,100,0.0
2025-03-11 18:00:00,25.6,45,18.4,100,0.0
2025-03-11 19:00:00,23.0,51,18.3,2,0.0
2025-03-11 20:00:00,21.2,54,19.1,0,0.0
